# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# 
# STN,YYYYMMDD,   DR
# 
  260,20151001,    0
  260,20151002,    0
  260,20151003,    0
  260,20151004,    0
  260,20151005,   20
  260,20151006,   66
  260,20151007,   21
  260,20151008,    6
  260,20151009,    0
  260,20151010,    0
  260,20151011,    0
  260,20151012,    0
  260,20151013,    0
  260,20151014,   72
  260,20151015,  115
  260,20151016,  116
  260,20151017,   48
  260,20151018,    0
  260,20151019,    0
  260,20151020,    9
  260,20151021,   74
  260,20151022,   81
  260,20151023,    0
  260,20151024,    5
  260,20151025,   10
  260,20151026,    0
  260,20151027,    0
  260,20151028,    0
  260,20151029,    0
  260,20151030,    0
  260,20151031,    0
  260,20151101,    0
  260,20151102,    0
  260,20151103,    0
  260,20151104,    0
  260,20151105,   66
  260,20151106,   77
  260,20151107,   14
  260,20151108,    5
  260,20151109,   65
  260,20151110,   28
  260,20151111,   21
  260,20151112,    0
  260,20151113,   16
  260,20151114,   87
  260,20151115,   62
  260,20151116,   27
  260,20151117,  118
  260,20151118,   12
  260,20151119,   41
  260,20151120,   18
  260,20151121,   72
  260,20151122,    3
  260,20151123,    0
  260,20151124,  129
  260,20151125,   41
  260,20151126,    2
  260,20151127,   19
  260,20151128,   92
  260,20151129,   70
  260,20151130,  127
  260,20151201,   31
  260,20151202,    0
  260,20151203,    0
  260,20151204,   44
  260,20151205,    0
  260,20151206,   28
  260,20151207,   27
  260,20151208,   36
  260,20151209,    0
  260,20151210,    4
  260,20151211,   94
  260,20151212,   42
  260,20151213,   28
  260,20151214,    0
  260,20151215,    0
  260,20151216,  103
  260,20151217,    4
  260,20151218,    4
  260,20151219,    1
  260,20151220,   12
  260,20151221,   50
  260,20151222,   20
  260,20151223,    4
  260,20151224,   10
  260,20151225,   22
  260,20151226,    0
  260,20151227,    0
  260,20151228,    0
  260,20151229,    0
  260,20151230,    0
  260,20151231,   17
